time	V(vin)	V(vo1)	V(vo2)
1.201910456608418e-03	4.769443e-01	9.229978e-01	4.764111e-01
1.221441706608418e-03	4.911817e-01	9.387621e-01	4.906992e-01
1.240972956608418e-03	4.985040e-01	9.467886e-01	4.980774e-01
1.260504206608417e-03	4.989114e-01	9.470774e-01	4.985458e-01
1.277942822679845e-03	4.916795e-01	9.394766e-01	4.913697e-01
1.295381438751274e-03	4.791164e-01	9.258392e-01	4.788610e-01
1.312820054822702e-03	4.612221e-01	9.061650e-01	4.610198e-01
1.330258670894130e-03	4.379966e-01	8.804540e-01	4.378460e-01
1.347697286965558e-03	4.094399e-01	8.487063e-01	4.093397e-01
1.365135903036987e-03	3.755521e-01	8.109219e-01	3.755009e-01
1.382574519108415e-03	3.363331e-01	7.671008e-01	3.363295e-01
1.393037688751271e-03	3.109972e-01	7.387872e-01	3.110206e-01
1.403500858394128e-03	2.846160e-01	7.084990e-01	2.846628e-01
1.413964028036985e-03	2.571895e-01	6.762360e-01	2.572562e-01
1.424427197679842e-03	2.287176e-01	6.419983e-01	2.288007e-01
1.434890367322699e-03	1.992003e-01	6.057859e-01	1.992963e-01
1.445353536965556e-03	1.686378e-01	5.675988e-01	1.687430e-01
1.455816706608413e-03	1.370298e-01	5.274370e-01	1.371408e-01
1.470465144108413e-03	9.225485e-02	4.648628e-01	9.234804e-02
1.480230769108413e-03	6.194729e-02	4.166405e-01	6.199389e-02
1.485113581608412e-03	4.669890e-02	3.886920e-01	4.669337e-02
1.489996394108412e-03	3.140657e-02	3.555689e-01	3.129590e-02
1.494879206608412e-03	1.608467e-02	3.141160e-01	1.575397e-02
1.497635223774740e-03	7.428890e-03	2.821193e-01	6.815693e-03
1.500104976352591e-03	-3.297929e-04	2.407040e-01	-1.453577e-03
1.502157524755251e-03	-6.777856e-03	1.888129e-01	-8.665222e-03
1.504334383668668e-03	-1.361518e-02	1.065248e-01	-1.672357e-02
1.506229295883788e-03	-1.956491e-02	4.353858e-03	-2.394703e-02
1.508148349748060e-03	-2.558761e-02	-1.290122e-01	-3.113043e-02
1.509019992049323e-03	-2.832197e-02	-2.000663e-01	-3.390546e-02
1.509591995887110e-03	-3.011590e-02	-2.508841e-01	-3.493152e-02
1.509949027873302e-03	-3.123544e-02	-2.831374e-01	-3.449311e-02
1.510399309164222e-03	-3.264715e-02	-3.226150e-01	-3.173376e-02
1.510812288198405e-03	-3.394168e-02	-3.562722e-01	-2.669813e-02
1.511090014020344e-03	-3.481212e-02	-3.763983e-01	-2.154333e-02
1.511364065875802e-03	-3.567094e-02	-3.934477e-01	-1.513573e-02
1.511672262395070e-03	-3.663663e-02	-4.096681e-01	-7.227638e-03
1.511937595193510e-03	-3.746791e-02	-4.212848e-01	-3.778932e-04
1.512204469848678e-03	-3.830391e-02	-4.309040e-01	6.104249e-03
1.512484279880336e-03	-3.918031e-02	-4.391442e-01	1.210071e-02
1.512873166206129e-03	-4.039816e-02	-4.484107e-01	1.906740e-02
1.513262361012071e-03	-4.161673e-02	-4.558740e-01	2.456640e-02
1.513744743717341e-03	-4.312673e-02	-4.633560e-01	2.966123e-02
1.514259084900434e-03	-4.473633e-02	-4.700685e-01	3.367692e-02
1.514793364250109e-03	-4.640783e-02	-4.761694e-01	3.679700e-02
1.515391110738148e-03	-4.827727e-02	-4.823990e-01	3.955321e-02
1.516091495037020e-03	-5.046684e-02	-4.892719e-01	4.228824e-02
1.517977385868005e-03	-5.635760e-02	-5.067158e-01	4.874022e-02
1.524892476125693e-03	-7.788358e-02	-5.653056e-01	7.092378e-02
1.539540913625692e-03	-1.229475e-01	-6.772058e-01	1.166355e-01
1.550701627911406e-03	-1.569876e-01	-7.555868e-01	1.509393e-01
1.561862342197120e-03	-1.898688e-01	-8.304627e-01	1.840844e-01
1.573023056482834e-03	-2.215911e-01	-9.018333e-01	2.160709e-01
1.584183770768548e-03	-2.521546e-01	-9.696987e-01	2.468987e-01
1.595344485054263e-03	-2.815591e-01	-1.034059e+00	2.765679e-01
1.606505199339977e-03	-3.098048e-01	-1.094914e+00	3.050784e-01
1.617665913625691e-03	-3.368916e-01	-1.152264e+00	3.324302e-01
1.635802074339976e-03	-3.775688e-01	-1.238655e+00	3.736188e-01
1.653938235054261e-03	-4.124403e-01	-1.312690e+00	4.090311e-01
1.672074395768547e-03	-4.415063e-01	-1.374369e+00	4.386673e-01
1.690210556482832e-03	-4.647667e-01	-1.423693e+00	4.625272e-01
1.708346717197117e-03	-4.822215e-01	-1.460661e+00	4.806109e-01
1.726482877911403e-03	-4.938707e-01	-1.485273e+00	4.929184e-01
1.744619038625688e-03	-4.997143e-01	-1.497529e+00	4.994497e-01
1.763452743982830e-03	-4.975573e-01	-1.493530e+00	4.980151e-01
1.782286449339973e-03	-4.890047e-01	-1.475961e+00	4.901619e-01
1.801120154697115e-03	-4.740564e-01	-1.444825e+00	4.758899e-01
1.819953860054258e-03	-4.527124e-01	-1.400119e+00	4.551992e-01
1.838787565411400e-03	-4.249728e-01	-1.341844e+00	4.280898e-01
1.857621270768543e-03	-3.908375e-01	-1.270001e+00	3.945617e-01
1.876454976125685e-03	-3.503065e-01	-1.184588e+00	3.546149e-01
1.887615690411399e-03	-3.240844e-01	-1.129333e+00	3.286979e-01
1.898776404697113e-03	-2.966247e-01	-1.070636e+00	3.015362e-01
1.909937118982827e-03	-2.679274e-01	-1.008497e+00	2.731298e-01
1.921097833268541e-03	-2.379925e-01	-9.429172e-01	2.434787e-01
1.932258547554255e-03	-2.068200e-01	-8.738957e-01	2.125829e-01
1.943419261839969e-03	-1.744099e-01	-8.014328e-01	1.804424e-01
1.954579976125683e-03	-1.407622e-01	-7.255285e-01	1.470572e-01
1.969228413625683e-03	-9.607062e-02	-6.193990e-01	1.028321e-01
1.978994038625683e-03	-6.580074e-02	-5.424316e-01	7.306996e-02
1.983876851125683e-03	-5.056577e-02	-5.006786e-01	5.825657e-02
1.988759663625683e-03	-3.528321e-02	-4.548888e-01	4.370236e-02
1.993642476125683e-03	-1.996744e-02	-4.019543e-01	2.984337e-02
1.997535066626105e-03	-7.743507e-03	-3.501249e-01	2.007975e-02
1.999943051436145e-03	-1.789092e-04	-3.082091e-01	1.571914e-02
2.001720475082886e-03	5.404927e-03	-2.657367e-01	1.461137e-02
2.003512851181149e-03	1.103505e-02	-2.063645e-01	1.622763e-02
2.005203578130003e-03	1.634461e-02	-1.298949e-01	2.028074e-02
2.006802938389922e-03	2.136555e-02	-3.462700e-02	2.574946e-02
2.008418317800070e-03	2.643459e-02	8.451321e-02	3.186567e-02
2.009948058279488e-03	3.123240e-02	2.126576e-01	3.745613e-02
2.010568711226017e-03	3.317819e-02	2.654378e-01	3.917979e-02
2.011128714441400e-03	3.493340e-02	3.083243e-01	3.992491e-02
2.011488797005489e-03	3.606178e-02	3.304409e-01	3.994072e-02
2.011802930790115e-03	3.704602e-02	3.447167e-01	3.977561e-02
2.012103684193273e-03	3.798820e-02	3.544965e-01	3.971008e-02
2.012432414197615e-03	3.901787e-02	3.619084e-01	3.990148e-02
2.012822578727216e-03	4.023976e-02	3.680889e-01	4.045916e-02
2.013102150871969e-03	4.111514e-02	3.713625e-01	4.104697e-02
2.013392660889853e-03	4.202465e-02	3.740628e-01	4.178932e-02
2.013713177281065e-03	4.302793e-02	3.766457e-01	4.268776e-02
2.014103950156969e-03	4.425089e-02	3.794911e-01	4.384234e-02
2.014580023147141e-03	4.574046e-02	3.827256e-01	4.529025e-02
2.015958340856409e-03	5.005064e-02	3.914672e-01	4.955604e-02
2.019127814500803e-03	5.994724e-02	4.098273e-01	5.940291e-02
2.027981260577603e-03	8.745357e-02	4.549811e-01	8.682592e-02
2.042629698077602e-03	1.323295e-01	5.192425e-01	1.316478e-01
2.053790412363316e-03	1.661692e-01	5.625914e-01	1.654718e-01
