time	V(vin)	V(vo1)	V(vo2)
6.930803570495444e-04	-4.683641e+00	-9.929131e+00	4.610814e+00
6.950539944811844e-04	-4.704985e+00	-9.949775e+00	4.591128e+00
6.970276319128245e-04	-4.725601e+00	-9.966256e+00	4.564696e+00
6.990012693444645e-04	-4.745489e+00	-9.978575e+00	4.531517e+00
7.009749067761045e-04	-4.764649e+00	-9.986731e+00	4.491592e+00
7.029485442077445e-04	-4.783081e+00	-9.990725e+00	4.444919e+00
7.049221816393846e-04	-4.800786e+00	-9.990556e+00	4.391500e+00
7.145966460457379e-04	-4.877066e+00	-9.992991e+00	4.167469e+00
7.242711104520912e-04	-4.935000e+00	-9.994867e+00	3.996771e+00
7.339455748584445e-04	-4.974588e+00	-9.996183e+00	3.879406e+00
7.436200392647979e-04	-4.995830e+00	-9.996940e+00	3.815374e+00
7.532945036711512e-04	-4.998727e+00	-9.997138e+00	3.804675e+00
7.629689680775045e-04	-4.983277e+00	-9.996776e+00	3.847309e+00
7.726434324838578e-04	-4.949481e+00	-9.995854e+00	3.943275e+00
7.824090574838578e-04	-4.896693e+00	-9.995786e+00	4.098088e+00
7.921746824838578e-04	-4.825474e+00	-9.994755e+00	4.306266e+00
7.970574949838578e-04	-4.783034e+00	-9.992062e+00	4.426045e+00
8.047273607956597e-04	-4.707298e+00	-9.973001e+00	4.614635e+00
8.075157058153099e-04	-4.677046e+00	-9.952829e+00	4.668232e+00
8.079719389810256e-04	-4.671959e+00	-9.947662e+00	4.674740e+00
8.084281721467412e-04	-4.666834e+00	-9.941343e+00	4.679210e+00
8.088844053124569e-04	-4.661670e+00	-9.933874e+00	4.681642e+00
8.093406384781725e-04	-4.656468e+00	-9.925253e+00	4.682036e+00
8.097968716438882e-04	-4.651228e+00	-9.915482e+00	4.680392e+00
8.102531048096038e-04	-4.645949e+00	-9.904560e+00	4.676710e+00
8.107093379753196e-04	-4.640633e+00	-9.892487e+00	4.670990e+00
8.121906392097903e-04	-4.623105e+00	-9.855507e+00	4.649153e+00
8.136719404442611e-04	-4.605181e+00	-9.818128e+00	4.628003e+00
8.151532416787318e-04	-4.586859e+00	-9.780350e+00	4.607540e+00
8.166345429132025e-04	-4.568141e+00	-9.742173e+00	4.587762e+00
8.181158441476732e-04	-4.549026e+00	-9.703596e+00	4.568672e+00
8.195971453821440e-04	-4.529515e+00	-9.664620e+00	4.550268e+00
8.210784466166147e-04	-4.509606e+00	-9.625245e+00	4.532550e+00
8.350293394737576e-04	-4.297763e+00	-9.200996e+00	4.325025e+00
8.489802323309004e-04	-4.058150e+00	-8.720528e+00	4.089526e+00
8.629311251880434e-04	-3.790766e+00	-8.183841e+00	3.826051e+00
8.768820180451862e-04	-3.495612e+00	-7.590934e+00	3.534601e+00
8.908329109023291e-04	-3.172687e+00	-6.941809e+00	3.215177e+00
9.047838037594720e-04	-2.821992e+00	-6.236465e+00	2.867777e+00
9.187346966166148e-04	-2.443526e+00	-5.474902e+00	2.492403e+00
9.271052323309005e-04	-2.209122e+00	-5.003251e+00	2.259576e+00
9.354757680451862e-04	-1.970297e+00	-4.521259e+00	2.022236e+00
9.438463037594719e-04	-1.727050e+00	-4.028927e+00	1.780384e+00
9.522168394737576e-04	-1.479380e+00	-3.526254e+00	1.534020e+00
9.605873751880433e-04	-1.227289e+00	-3.013241e+00	1.283144e+00
9.689579109023290e-04	-9.707764e-01	-2.489887e+00	1.027755e+00
9.773284466166147e-04	-7.098415e-01	-1.956193e+00	7.678540e-01
9.870940716166145e-04	-4.050075e-01	-1.322187e+00	4.646947e-01
9.919768841166144e-04	-2.519469e-01	-9.946202e-01	3.133799e-01
9.968596966166143e-04	-9.864914e-02	-6.529729e-01	1.641866e-01
9.987864658180961e-04	-3.812393e-02	-5.078341e-01	1.080650e-01
9.997244839779068e-04	-8.655587e-03	-4.290486e-01	8.365537e-02
1.000396239755953e-03	1.244823e-02	-3.654547e-01	6.932784e-02
1.000811740946083e-03	2.550148e-02	-3.204238e-01	6.338973e-02
1.001197313946203e-03	3.761437e-02	-2.718061e-01	6.162222e-02
1.001552412263414e-03	4.876970e-02	-2.197983e-01	6.389206e-02
1.001810956027461e-03	5.689164e-02	-1.759906e-01	6.843498e-02
1.002065551238466e-03	6.488939e-02	-1.267547e-01	7.532097e-02
1.002340773331775e-03	7.353491e-02	-6.625120e-02	8.463126e-02
1.002768455799615e-03	8.696922e-02	4.000534e-02	1.008800e-01
1.003168856919625e-03	9.954600e-02	1.512603e-01	1.167532e-01
1.003598648008899e-03	1.130452e-01	2.809909e-01	1.336323e-01
1.003824792388384e-03	1.201478e-01	3.514576e-01	1.417747e-01
1.003977375232815e-03	1.249399e-01	3.972109e-01	1.460389e-01
1.004157356039914e-03	1.305923e-01	4.463867e-01	1.492945e-01
1.004224041083519e-03	1.326866e-01	4.623960e-01	1.498713e-01
