time	V(vin)	V(vo1)	V(vo2)
7.058811452632741e-04	3.841839e+00	4.380774e+00	3.839319e+00
7.226222166918455e-04	3.940964e+00	4.481198e+00	3.938837e+00
7.435485559775598e-04	3.991632e+00	4.533203e+00	3.990039e+00
7.644748952632741e-04	3.977326e+00	4.519333e+00	3.976267e+00
7.854012345489884e-04	3.898047e+00	4.439586e+00	3.897521e+00
8.063275738347028e-04	3.753795e+00	4.293962e+00	3.753801e+00
8.272539131204170e-04	3.544570e+00	4.082463e+00	3.545107e+00
8.481802524061314e-04	3.270371e+00	3.805086e+00	3.271439e+00
8.691065916918456e-04	2.931199e+00	3.461834e+00	2.932796e+00
8.809648506204170e-04	2.717052e+00	3.245113e+00	2.718925e+00
8.928231095489885e-04	2.491155e+00	3.015625e+00	2.493286e+00
9.046813684775599e-04	2.253508e+00	2.773370e+00	2.255880e+00
9.165396274061313e-04	2.004111e+00	2.518349e+00	2.006706e+00
9.283978863347029e-04	1.742964e+00	2.250561e+00	1.745765e+00
9.402561452632743e-04	1.470067e+00	1.970006e+00	1.473056e+00
9.521144041918457e-04	1.185421e+00	1.676685e+00	1.188580e+00
9.562996720489885e-04	1.084383e+00	1.572152e+00	1.087597e+00
9.604849399061314e-04	9.827723e-01	1.466207e+00	9.860347e-01
9.646702077632742e-04	8.805886e-01	1.358850e+00	8.838919e-01
9.688554756204171e-04	7.778320e-01	1.250082e+00	7.811690e-01
9.730407434775599e-04	6.745023e-01	1.139902e+00	6.778659e-01
9.772260113347028e-04	5.705997e-01	1.028311e+00	5.739825e-01
9.814112791918456e-04	4.661241e-01	9.153086e-01	4.695190e-01
9.862940916918455e-04	3.440414e-01	7.791793e-01	3.474100e-01
9.911769041918454e-04	2.216350e-01	6.354254e-01	2.248797e-01
9.960597166918453e-04	9.902000e-02	4.785990e-01	1.018750e-01
9.980391126266604e-04	4.928123e-02	4.042743e-01	5.160455e-02
9.992798112202087e-04	1.810026e-02	3.464729e-01	1.960772e-02
1.000089113675001e-03	-2.239671e-03	2.973478e-01	-1.867146e-03
1.000866196366412e-03	-2.176978e-02	2.315044e-01	-2.350546e-02
1.001712713055721e-03	-4.304434e-02	1.294445e-01	-4.845192e-02
1.002446392883832e-03	-6.148214e-02	5.608012e-03	-7.104756e-02
1.003244689187046e-03	-8.154228e-02	-1.660174e-01	-9.599379e-02
1.003583477759529e-03	-9.005501e-02	-2.508918e-01	-1.062777e-01
1.003802874519580e-03	-9.556757e-02	-3.109984e-01	-1.123953e-01
1.003932225305747e-03	-9.881755e-02	-3.477067e-01	-1.154333e-01
1.004028466362966e-03	-1.012356e-01	-3.754205e-01	-1.170298e-01
1.004128381915721e-03	-1.037459e-01	-4.042198e-01	-1.177241e-01
1.004223498972527e-03	-1.061357e-01	-4.312513e-01	-1.169091e-01
1.004363322645079e-03	-1.096485e-01	-4.697247e-01	-1.126852e-01
1.004490945699007e-03	-1.128548e-01	-5.028397e-01	-1.053173e-01
1.004631067719135e-03	-1.163750e-01	-5.360702e-01	-9.296746e-02
1.004777904392305e-03	-1.200638e-01	-5.668724e-01	-7.610378e-02
1.004955125017264e-03	-1.245158e-01	-5.988027e-01	-5.245145e-02
1.005131113606484e-03	-1.289366e-01	-6.256123e-01	-2.765711e-02
1.005294932541613e-03	-1.330516e-01	-6.466039e-01	-5.064464e-03
1.005468434775399e-03	-1.374097e-01	-6.655273e-01	1.693989e-02
1.005660953174877e-03	-1.422453e-01	-6.836340e-01	3.813994e-02
1.005913679889918e-03	-1.485928e-01	-7.044504e-01	6.116799e-02
1.006170940434347e-03	-1.550538e-01	-7.233194e-01	7.960888e-02
1.006534921863341e-03	-1.641944e-01	-7.476034e-01	9.949447e-02
1.006912680007521e-03	-1.736800e-01	-7.712404e-01	1.155894e-01
1.007250303842696e-03	-1.821570e-01	-7.914793e-01	1.272985e-01
1.007617308577609e-03	-1.913708e-01	-8.129306e-01	1.384319e-01
1.008477784015238e-03	-2.129692e-01	-8.620932e-01	1.619606e-01
1.010194592467471e-03	-2.560518e-01	-9.571831e-01	2.060633e-01
1.011911400919703e-03	-2.990933e-01	-1.051284e+00	2.499560e-01
1.013628209371936e-03	-3.420936e-01	-1.144396e+00	2.936385e-01
1.015345017824169e-03	-3.850529e-01	-1.236519e+00	3.371110e-01
1.017061826276402e-03	-4.279711e-01	-1.327654e+00	3.803733e-01
1.018778634728635e-03	-4.708482e-01	-1.417799e+00	4.234256e-01
1.020495443180868e-03	-5.136842e-01	-1.506955e+00	4.662678e-01
1.035143880680867e-03	-8.761016e-01	-2.257619e+00	8.301992e-01
1.045607050323724e-03	-1.133191e+00	-2.782789e+00	1.088221e+00
1.056070219966581e-03	-1.382784e+00	-3.291770e+00	1.338888e+00
1.066533389609438e-03	-1.624882e+00	-3.784563e+00	1.582200e+00
1.076996559252295e-03	-1.859483e+00	-4.261167e+00	1.818156e+00
1.087459728895152e-03	-2.086589e+00	-4.721583e+00	2.046757e+00
1.097922898538009e-03	-2.306198e+00	-5.165810e+00	2.268002e+00
1.108386068180866e-03	-2.518312e+00	-5.593849e+00	2.481892e+00
1.125127139609437e-03	-2.836900e+00	-6.237217e+00	2.803739e+00
1.141868211038008e-03	-3.117610e+00	-6.804217e+00	3.087950e+00
1.158609282466579e-03	-3.360442e+00	-7.294849e+00	3.334527e+00
1.175350353895150e-03	-3.565395e+00	-7.709115e+00	3.543468e+00
1.192091425323721e-03	-3.732469e+00	-8.047013e+00	3.714774e+00
1.208832496752292e-03	-3.861665e+00	-8.308544e+00	3.848444e+00
1.225573568180863e-03	-3.952983e+00	-8.493708e+00	3.944480e+00
1.245802362823720e-03	-3.993911e+00	-8.578393e+00	3.991304e+00
