Freq.	V(vo2)
2.39883291901949e+00	(1.20400927680669e+01dB,1.79999029431310e+02°)
2.45470891568503e+00	(1.20400927680366e+01dB,1.79999006823861e+02°)
2.51188643150958e+00	(1.20400927680048e+01dB,1.79998983689816e+02°)
2.57039578276886e+00	(1.20400927679715e+01dB,1.79998960016911e+02°)
2.63026799189538e+00	(1.20400927679367e+01dB,1.79998935792593e+02°)
2.69153480392691e+00	(1.20400927679002e+01dB,1.79998911004018e+02°)
2.75422870333816e+00	(1.20400927678620e+01dB,1.79998885638043e+02°)
2.81838293126445e+00	(1.20400927678220e+01dB,1.79998859681219e+02°)
2.88403150312660e+00	(1.20400927677801e+01dB,1.79998833119782e+02°)
2.95120922666638e+00	(1.20400927677363e+01dB,1.79998805939650e+02°)
3.01995172040201e+00	(1.20400927676904e+01dB,1.79998778126412e+02°)
3.09029543251359e+00	(1.20400927676423e+01dB,1.79998749665320e+02°)
3.16227766016837e+00	(1.20400927675919e+01dB,1.79998720541284e+02°)
3.23593656929628e+00	(1.20400927675392e+01dB,1.79998690738862e+02°)
3.31131121482591e+00	(1.20400927674840e+01dB,1.79998660242252e+02°)
3.38844156139202e+00	(1.20400927674262e+01dB,1.79998629035285e+02°)
3.46736850452531e+00	(1.20400927673657e+01dB,1.79998597101415e+02°)
3.54813389233575e+00	(1.20400927673023e+01dB,1.79998564423709e+02°)
3.63078054770101e+00	(1.20400927672359e+01dB,1.79998530984841e+02°)
3.71535229097172e+00	(1.20400927671664e+01dB,1.79998496767083e+02°)
3.80189396320560e+00	(1.20400927670936e+01dB,1.79998461752290e+02°)
3.89045144994280e+00	(1.20400927670174e+01dB,1.79998425921898e+02°)
3.98107170553496e+00	(1.20400927669376e+01dB,1.79998389256909e+02°)
4.07380277804112e+00	(1.20400927668541e+01dB,1.79998351737882e+02°)
4.16869383470335e+00	(1.20400927667666e+01dB,1.79998313344926e+02°)
4.26579518801592e+00	(1.20400927666749e+01dB,1.79998274057682e+02°)
4.36515832240165e+00	(1.20400927665790e+01dB,1.79998233855321e+02°)
