Freq.	V(vo)
4.36515832240164e+01	(1.51341246718120e+01dB,1.79854148079020e+02°)
4.46683592150961e+01	(1.51341233707885e+01dB,1.79850750766109e+02°)
4.57088189614873e+01	(1.51341220084501e+01dB,1.79847274320671e+02°)
4.67735141287196e+01	(1.51341205819071e+01dB,1.79843716899546e+02°)
4.78630092322636e+01	(1.51341190881337e+01dB,1.79840076616651e+02°)
4.89778819368444e+01	(1.51341175239615e+01dB,1.79836351541973e+02°)
5.01187233627270e+01	(1.51341158860727e+01dB,1.79832539700551e+02°)
5.12861383991362e+01	(1.51341141709933e+01dB,1.79828639071427e+02°)
5.24807460249770e+01	(1.51341123750854e+01dB,1.79824647586576e+02°)
5.37031796370250e+01	(1.51341104945397e+01dB,1.79820563129811e+02°)
5.49540873857622e+01	(1.51341085253676e+01dB,1.79816383535661e+02°)
5.62341325190346e+01	(1.51341064633922e+01dB,1.79812106588222e+02°)
5.75439937337154e+01	(1.51341043042399e+01dB,1.79807730019986e+02°)
5.88843655355586e+01	(1.51341020433311e+01dB,1.79803251510636e+02°)
6.02559586074355e+01	(1.51340996758701e+01dB,1.79798668685820e+02°)
6.16595001861479e+01	(1.51340971968356e+01dB,1.79793979115892e+02°)
6.30957344480190e+01	(1.51340946009693e+01dB,1.79789180314625e+02°)
6.45654229034652e+01	(1.51340918827652e+01dB,1.79784269737891e+02°)
6.60693448007593e+01	(1.51340890364579e+01dB,1.79779244782319e+02°)
6.76082975391978e+01	(1.51340860560103e+01dB,1.79774102783912e+02°)
6.91830970918933e+01	(1.51340829351008e+01dB,1.79768841016635e+02°)
7.07945784384134e+01	(1.51340796671097e+01dB,1.79763456690975e+02°)
7.24435960074986e+01	(1.51340762451055e+01dB,1.79757946952461e+02°)
7.41310241300914e+01	(1.51340726618302e+01dB,1.79752308880152e+02°)
7.58577575029180e+01	(1.51340689096835e+01dB,1.79746539485094e+02°)
7.76247116628688e+01	(1.51340649807070e+01dB,1.79740635708731e+02°)
7.94328234724277e+01	(1.51340608665674e+01dB,1.79734594421290e+02°)
8.12830516164095e+01	(1.51340565585385e+01dB,1.79728412420123e+02°)
8.31763771102667e+01	(1.51340520474830e+01dB,1.79722086428010e+02°)
8.51138038202372e+01	(1.51340473238331e+01dB,1.79715613091427e+02°)
8.70963589956076e+01	(1.51340423775699e+01dB,1.79708988978767e+02°)
8.91250938133741e+01	(1.51340371982026e+01dB,1.79702210578526e+02°)
