time	V(v1)	V(v2)	V(vo)
9.958683745707189e-04	-2.595685e-03	-2.595685e-03	4.772788e-01
1.000053642427862e-03	3.824131e-05	3.824131e-05	3.275121e-01
1.004238910285004e-03	2.667605e-03	2.667605e-03	1.777755e-01
1.008424178142147e-03	5.292407e-03	5.292407e-03	2.806888e-02
1.012609445999290e-03	7.912646e-03	7.912646e-03	-1.216076e-01
1.016794713856433e-03	1.052832e-02	1.052832e-02	-2.712541e-01
1.020979981713575e-03	1.313944e-02	1.313944e-02	-4.208705e-01
1.025165249570718e-03	1.574599e-02	1.574599e-02	-5.704568e-01
1.033535785285004e-03	2.095004e-02	2.095004e-02	-8.698313e-01
1.041906320999289e-03	2.606157e-02	2.606157e-02	-1.164806e+00
1.050276856713575e-03	3.108058e-02	3.108058e-02	-1.455380e+00
1.058647392427860e-03	3.600707e-02	3.600707e-02	-1.741554e+00
1.067017928142146e-03	4.084105e-02	4.084105e-02	-2.023327e+00
1.075388463856431e-03	4.558250e-02	4.558250e-02	-2.300701e+00
1.083758999570717e-03	5.023144e-02	5.023144e-02	-2.573674e+00
1.097709892427860e-03	5.772571e-02	5.772571e-02	-3.016260e+00
1.111660785285002e-03	6.465648e-02	6.465648e-02	-3.428478e+00
1.125611678142145e-03	7.102374e-02	7.102374e-02	-3.810329e+00
1.139562570999287e-03	7.682749e-02	7.682749e-02	-4.161812e+00
1.153513463856430e-03	8.206774e-02	8.206774e-02	-4.482928e+00
1.167464356713572e-03	8.674449e-02	8.674449e-02	-4.773676e+00
1.181415249570715e-03	9.085774e-02	9.085774e-02	-5.034057e+00
1.194668597785000e-03	9.404261e-02	9.404261e-02	-5.241338e+00
1.207921945999286e-03	9.654632e-02	9.654632e-02	-5.410172e+00
1.221175294213571e-03	9.836885e-02	9.836885e-02	-5.540559e+00
1.234428642427857e-03	9.951022e-02	9.951022e-02	-5.632498e+00
1.247681990642142e-03	9.997041e-02	9.997041e-02	-5.685990e+00
1.260935338856427e-03	9.974944e-02	9.974944e-02	-5.701034e+00
1.274188687070713e-03	9.884729e-02	9.884729e-02	-5.677631e+00
1.289534669213570e-03	9.683468e-02	9.683468e-02	-5.595119e+00
1.304880651356426e-03	9.401038e-02	9.401038e-02	-5.464988e+00
1.320226633499283e-03	9.037439e-02	9.037439e-02	-5.287240e+00
1.335572615642140e-03	8.592671e-02	8.592671e-02	-5.061873e+00
1.350918597784997e-03	8.066734e-02	8.066734e-02	-4.788888e+00
1.366264579927854e-03	7.459629e-02	7.459629e-02	-4.468284e+00
1.381610562070711e-03	6.771354e-02	6.771354e-02	-4.100063e+00
1.392771276356425e-03	6.231707e-02	6.231707e-02	-3.808299e+00
1.403931990642139e-03	5.668687e-02	5.668687e-02	-3.501810e+00
1.415092704927853e-03	5.082294e-02	5.082294e-02	-3.180595e+00
1.426253419213567e-03	4.472527e-02	4.472527e-02	-2.844654e+00
1.437414133499281e-03	3.839387e-02	3.839387e-02	-2.493989e+00
1.448574847784995e-03	3.182875e-02	3.182875e-02	-2.128597e+00
1.459735562070709e-03	2.502989e-02	2.502989e-02	-1.748480e+00
1.465315919213566e-03	2.160991e-02	2.160991e-02	-1.556601e+00
1.470896276356423e-03	1.817399e-02	1.817399e-02	-1.363410e+00
1.476476633499280e-03	1.472213e-02	1.472213e-02	-1.168906e+00
1.482056990642137e-03	1.125431e-02	1.125431e-02	-9.730895e-01
1.487637347784994e-03	7.770554e-03	7.770554e-03	-7.759607e-01
1.493217704927851e-03	4.270847e-03	4.270847e-03	-5.775193e-01
1.498798062070708e-03	7.551927e-04	7.551927e-04	-3.777655e-01
1.518329312070708e-03	-1.149121e-02	-1.149121e-02	3.212858e-01
1.525304758499279e-03	-1.585291e-02	-1.585291e-02	5.714910e-01
1.532280204927850e-03	-2.016376e-02	-2.016376e-02	8.194175e-01
1.539255651356421e-03	-2.442376e-02	-2.442376e-02	1.065065e+00
1.546231097784993e-03	-2.863290e-02	-2.863290e-02	1.308434e+00
1.553206544213564e-03	-3.279118e-02	-3.279118e-02	1.549525e+00
1.560181990642135e-03	-3.689860e-02	-3.689860e-02	1.788336e+00
1.567157437070707e-03	-4.095517e-02	-4.095517e-02	2.024869e+00
1.579713240642135e-03	-4.811368e-02	-4.811368e-02	2.444151e+00
1.592269044213563e-03	-5.487507e-02	-5.487507e-02	2.842406e+00
1.604824847784992e-03	-6.123932e-02	-6.123932e-02	3.219634e+00
1.617380651356420e-03	-6.720644e-02	-6.720644e-02	3.575836e+00
1.629936454927848e-03	-7.277643e-02	-7.277643e-02	3.911010e+00
1.642492258499277e-03	-7.794930e-02	-7.794930e-02	4.225158e+00
1.655048062070705e-03	-8.272503e-02	-8.272503e-02	4.518280e+00
1.669696499570704e-03	-8.759878e-02	-8.759878e-02	4.822281e+00
1.684344937070704e-03	-9.166516e-02	-9.166516e-02	5.081089e+00
1.698993374570704e-03	-9.492416e-02	-9.492416e-02	5.294704e+00
1.713641812070704e-03	-9.737579e-02	-9.737579e-02	5.463124e+00
1.728290249570703e-03	-9.902004e-02	-9.902004e-02	5.586350e+00
1.742938687070703e-03	-9.985690e-02	-9.985690e-02	5.664383e+00
1.757587124570703e-03	-9.988640e-02	-9.988640e-02	5.697222e+00
1.771538017427845e-03	-9.903389e-02	-9.903389e-02	5.678197e+00
1.785488910284988e-03	-9.746724e-02	-9.746724e-02	5.617660e+00
1.799439803142130e-03	-9.518643e-02	-9.518643e-02	5.515610e+00
1.813390695999273e-03	-9.219147e-02	-9.219147e-02	5.372049e+00
